true_metascore,predicted_metascore
77.0,75.4775
82.0,76.25
81.0,74.5825
85.0,85.02
75.0,70.025
80.0,78.945
54.0,66.81
58.0,64.8225
74.0,65.54
73.0,67.4375
58.0,68.6625
73.0,70.68
82.0,77.49
64.0,68.4375
78.0,80.91
66.0,72.65
83.0,77.2025
80.0,75.1775
76.0,72.6875
60.0,60.5625
78.0,77.615
65.0,68.67
75.0,73.2075
60.0,71.4525
80.0,72.8525
45.0,66.565
63.0,66.575
54.0,56.2575
61.0,62.8325
64.0,71.4575
86.0,81.715
75.0,77.51
51.0,64.0925
80.0,79.2875
71.0,76.0775
82.0,84.1375
67.0,67.04
69.0,60.335
49.0,56.56
69.0,71.115
79.0,73.19
91.0,77.915
71.0,76.925
43.0,70.3075
67.0,67.9425
82.0,78.4375
71.0,73.045
25.0,51.94
79.0,83.8425
92.0,79.4225
85.0,80.645
66.0,63.78
63.0,68.92
62.0,74.4075
79.0,79.785
69.0,79.4425
44.0,61.695
74.0,77.9125
75.0,77.2
62.0,69.2575
91.0,78.26
38.0,62.32
74.0,71.2075
88.0,79.8975
80.0,70.97
83.0,80.6625
55.0,69.4325
54.0,68.6175
65.0,63.5075
80.0,72.175
75.0,80.9875
63.0,87.085
80.0,70.0425
79.0,78.955
70.0,71.5725
85.0,77.725
91.0,82.3175
35.0,60.5875
63.0,58.66
80.0,74.515
63.0,68.04
68.0,79.875
69.0,67.5375
70.0,53.7025
54.0,60.84
84.0,77.9425
49.0,60.6275
70.0,69.645
81.0,77.975
78.0,74.89
86.0,78.02
76.0,76.2125
41.0,67.365
63.0,65.3775
76.0,73.855
50.0,63.8225
78.0,68.155
60.0,44.155
63.0,66.85666666666665
76.0,77.0
83.0,80.845
79.0,70.17
73.0,69.0675
68.0,67.755
71.0,73.1575
79.0,69.1975
68.0,62.3575
68.0,59.01
82.0,79.34
80.0,65.7225
65.0,61.2275
70.0,72.295
66.0,71.9825
76.0,66.8225
83.0,77.71
77.0,74.685
76.0,69.315
77.0,73.1475
59.0,64.635
83.0,82.0725
69.0,73.6175
69.0,72.5025
60.0,75.98
51.0,76.68
70.0,64.4075
70.0,69.7075
68.0,69.29
71.0,62.065
76.0,73.585
86.0,67.2975
89.0,75.8425
72.0,72.71
81.0,80.03
67.0,64.5425
83.0,74.3475
93.0,89.805
47.0,64.5375
82.0,78.725
77.0,68.2925
77.0,74.5725
74.0,71.0175
70.0,71.435
81.0,68.5725
82.0,72.855
72.0,74.2575
70.0,69.765
61.0,63.73
67.0,69.9075
93.0,80.915
39.0,67.2975
74.0,64.1675
71.0,66.69
69.0,69.49
43.0,63.77
76.0,67.6
86.0,78.0525
77.0,80.6975
73.0,71.8475
64.0,64.8525
68.0,68.04
77.0,73.2475
74.0,72.465
80.0,77.6825
59.0,66.1025
57.0,66.085
71.0,66.9775
57.0,73.465
85.0,76.8875
75.0,84.2125
81.0,67.165
72.0,77.3075
73.0,67.425
52.0,66.5925
73.0,63.0775
72.0,73.8325
83.0,78.2725
81.0,77.69
79.0,70.6625
54.0,54.9425
74.0,69.7325
44.0,61.2925
76.0,71.225
77.0,78.035
65.0,59.38
64.0,64.28
65.0,67.065
49.0,56.7675
67.0,79.0125
56.0,69.845
72.0,73.68
63.0,56.7
68.0,59.1075
78.0,51.0625
72.0,77.605
67.0,74.2625
82.0,69.68
